               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.085018,             0.12435,                   0,             0.59356,             0.43435,             0.48536,             0.21782,            0.064439,            0.059586,                   0,             0.07013,           0.0033188,           0.0033188
                   1,            0.065677,             0.11576,                   0,             0.58953,             0.47746,             0.50046,             0.24581,            0.061231,            0.060908,                   0,            0.039867,           0.0063887,           0.0063887
                   2,            0.059904,             0.11295,                   0,              0.7765,             0.46209,              0.5317,             0.26978,            0.054545,            0.066147,                   0,           0.0093396,           0.0091947,           0.0091947
                   3,            0.054532,             0.10728,                   0,             0.80765,             0.47576,             0.57083,             0.30161,            0.052458,            0.067823,                   0,            0.008812,            0.008812,            0.008812
                   4,            0.050469,             0.10281,                   0,             0.80709,             0.44658,             0.53215,             0.29943,            0.052192,            0.070422,                   0,            0.008812,            0.008812,            0.008812
                   5,            0.048245,             0.10106,                   0,             0.81465,             0.40255,             0.48202,             0.27241,            0.053958,            0.072506,                   0,            0.008416,            0.008416,            0.008416
                   6,            0.046216,             0.09826,                   0,             0.82788,             0.40995,             0.49186,             0.28027,            0.053638,            0.071782,                   0,             0.00802,             0.00802,             0.00802
                   7,             0.04535,            0.095436,                   0,             0.82733,              0.4452,             0.54241,             0.31186,            0.050787,             0.07036,                   0,            0.007624,            0.007624,            0.007624
                   8,            0.044215,             0.09269,                   0,             0.80581,             0.42495,             0.50238,             0.29599,            0.051701,             0.07125,                   0,            0.007228,            0.007228,            0.007228
                   9,            0.042678,            0.091962,                   0,             0.83066,             0.39729,             0.48194,             0.29071,            0.054047,            0.080146,                   0,            0.006832,            0.006832,            0.006832
                  10,            0.042326,              0.0912,                   0,              0.8212,              0.4045,             0.49382,             0.29961,            0.052529,            0.076796,                   0,            0.006436,            0.006436,            0.006436
                  11,             0.04167,            0.088873,                   0,             0.84871,             0.40896,             0.48389,              0.2889,            0.053058,             0.07649,                   0,             0.00604,             0.00604,             0.00604
                  12,            0.040805,            0.088232,                   0,             0.82423,              0.3961,             0.48553,             0.29461,            0.053032,             0.08214,                   0,            0.005644,            0.005644,            0.005644
                  13,            0.040364,            0.085782,                   0,             0.82366,             0.39544,             0.47034,              0.2832,            0.053892,            0.079313,                   0,            0.005248,            0.005248,            0.005248
                  14,            0.039837,            0.085885,                   0,             0.83708,             0.40051,             0.48685,             0.29334,            0.053615,            0.080671,                   0,            0.004852,            0.004852,            0.004852
                  15,            0.039429,            0.084424,                   0,             0.83964,             0.40483,             0.48771,             0.29182,            0.052975,            0.080212,                   0,            0.004456,            0.004456,            0.004456
                  16,            0.039054,             0.08407,                   0,             0.82506,             0.38552,             0.47196,             0.27828,            0.054417,            0.081451,                   0,             0.00406,             0.00406,             0.00406
                  17,            0.038645,            0.081769,                   0,             0.82627,             0.39937,             0.47968,             0.28811,            0.053264,            0.080119,                   0,            0.003664,            0.003664,            0.003664
                  18,            0.038303,            0.081484,                   0,             0.84109,             0.38984,             0.47051,             0.28459,            0.054131,            0.085268,                   0,            0.003268,            0.003268,            0.003268
                  19,             0.03829,            0.081293,                   0,             0.81672,             0.38832,             0.47022,             0.28173,            0.054021,            0.083484,                   0,            0.002872,            0.002872,            0.002872
                  20,               0.038,            0.080522,                   0,             0.81933,             0.39074,             0.47277,             0.28944,            0.054586,             0.08634,                   0,            0.002476,            0.002476,            0.002476
                  21,            0.037707,            0.079675,                   0,             0.81951,              0.3979,             0.47756,             0.28958,            0.054165,            0.085367,                   0,             0.00208,             0.00208,             0.00208
                  22,            0.037566,            0.081261,                   0,             0.82371,             0.38694,             0.46737,              0.2862,            0.054536,            0.084806,                   0,            0.001684,            0.001684,            0.001684
                  23,            0.037311,            0.078877,                   0,             0.81175,               0.384,             0.46513,             0.28572,            0.054664,            0.086254,                   0,            0.001288,            0.001288,            0.001288
                  24,            0.037193,             0.07944,                   0,             0.82149,             0.38447,             0.47002,             0.28871,            0.055085,            0.087875,                   0,            0.000892,            0.000892,            0.000892
