               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081492,             0.13561,                   0,              0.5482,             0.43048,             0.45083,             0.19536,             0.06354,            0.061314,                   0,             0.07013,           0.0033188,           0.0033188
                   1,            0.064165,              0.1217,                   0,              0.6723,             0.51243,             0.57593,             0.27083,            0.059068,            0.060709,                   0,            0.039472,           0.0059936,           0.0059936
                   2,            0.058623,             0.11822,                   0,             0.75157,             0.54763,             0.63662,             0.33533,            0.053115,            0.060961,                   0,           0.0081533,           0.0080084,           0.0080084
                   3,            0.053457,             0.11188,                   0,             0.80274,             0.55537,             0.63715,             0.33917,            0.049994,             0.06595,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.050508,             0.10826,                   0,             0.81134,             0.55717,             0.65403,             0.37695,            0.047081,            0.061553,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.047864,              0.1065,                   0,              0.8226,             0.53293,             0.62858,             0.35852,            0.047981,            0.063859,                   0,             0.00604,             0.00604,             0.00604
                   6,            0.045976,             0.10295,                   0,             0.82164,             0.53916,             0.63814,             0.37244,            0.046509,            0.064011,                   0,             0.00505,             0.00505,             0.00505
                   7,            0.044354,             0.10054,                   0,             0.82546,             0.54265,             0.63003,             0.37279,            0.046231,            0.063543,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.043493,            0.097709,                   0,             0.83201,             0.54104,             0.63751,             0.37969,            0.045883,            0.064328,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.042836,            0.098018,                   0,             0.83309,             0.54085,             0.63598,              0.3806,            0.045877,            0.064426,                   0,             0.00208,             0.00208,             0.00208
